PlayerName,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Pace,DEff,DvP,L2FGA,L5FGA,SFGA,L2Min,L5Min,SMin,L5FP,SFP,Floor,Ceil,ProjMin,ProjFP,ProjVal,Min,FP,Value
James Harden,15,None,PG/SG,11800,HOU,BKN,1,NA,37,30,107,108,9,22,22,21,34,36,36,57.8,57,44.6,69.4,34.5,59.5,5,35.8,73,6.2
LeBron James,20,None,SF/PF,11400,CLE,@PHI,2,109,30,31,105,102,3,19,20,19,37,38,38,62.5,57,41.7,72.3,37,55.7,4.9,31,58,5.1
Joel Embiid,14,None,C,10400,PHI,CLE,1,109,33,24,101,109,-3,18,18,16,29,31,29,51.3,45.6,31.1,60.2,32,52,5,32.8,44.8,4.3
Ben Simmons,14,None,PG/SF,10000,PHI,CLE,1,109,26,21,101,109,11,22,17,16,37,38,36,51,47.7,40.3,55,36,50.2,5,35.1,29,2.9
Blake Griffin,19,None,PF/C,9000,LAC,LAL,1,102,30,21,106,101,2,22,21,19,38,37,36,46.5,43.1,34.8,51.3,36,47.4,5.3,36.2,50.3,5.6
Damian Lillard,14,None,PG,8800,POR,@NYK,1,108,31,24,99,106,9,18,19,19,39,36,37,42.5,44.2,33.6,54.8,36.5,44.2,5,37.9,41.8,4.8
Andre Drummond,8,None,C,8400,DET,@BOS,2,104,21,21,99,97,-7,11,11,11,31,32,34,39.9,42.8,34.2,51.5,34,42.7,5.1,39.8,70.5,8.4
Kristaps Porzingis,10,None,PF/C,8300,NYK,POR,1,NA,33,25,99,100,-10,20,18,21,36,34,33,38.8,43.6,32,55.3,34,42.9,5.2,33,35.8,4.3
Kyrie Irving,4,None,PG,8200,BOS,DET,1,114,30,26,98,104,-2,18,18,19,30,33,33,44.8,40.7,31.8,49.6,34,40.3,4.9,35.9,34,4.1
Victor Oladipo,11,None,PG/SG,8000,IND,ORL,1,NA,29,21,103,107,11,17,18,18,32,34,34,43.9,39.1,28.1,50.2,34,38.6,4.8,33.1,52.5,6.6
Chris Paul,5,None,PG/SG,7900,HOU,BKN,1,NA,23,26,107,108,9,12,10,10,29,27,27,38.4,38.4,30.2,46.6,30.5,43.9,5.6,31,37,4.7
LaMarcus Aldridge,10,None,PF/C,7700,SAS,DAL,1,NA,27,25,98,106,-10,14,16,17,30,33,34,33.8,39.4,30.6,48.2,34.5,39,5.1,37.6,61.5,8
Kevin Love,8,None,PF/C,7500,CLE,@PHI,2,109,24,23,105,102,-9,12,14,13,31,32,31,38.6,38.2,27,49.4,30.5,38.1,5.1,24.8,22.3,3
Aaron Gordon,4,None,SF/PF,7400,ORL,@IND,1,NA,20,20,101,106,9,10,13,12,31,33,33,33.9,34.8,24.5,45,34,34,4.6,39.1,38,5.1
Nikola Vucevic,11,None,C,7300,ORL,@IND,1,NA,24,20,101,106,9,14,14,14,33,30,30,35.5,35.5,23.9,47.1,31.5,37.8,5.2,36.7,42.5,5.8
Spencer Dinwiddie,2,None,PG/SG,7300,BKN,@HOU,0,111,22,19,102,102,-10,15,13,10,32,31,25,37.2,27.5,15.6,39.5,34,36,4.9,31,30.5,4.2
Draymond Green,17,None,PF/C,7100,GSW,SAC,1,NA,17,16,97,108,2,5,7,8,29,33,32,32.5,34.6,27.3,41.9,34,38.8,5.5,38.8,34,4.8
Lonzo Ball,9,None,PG,7100,LAL,@LAC,4,109,20,10,99,106,-5,11,10,12,35,35,34,36.8,34.7,20.3,49,34.5,34.2,4.8,26.3,20.8,2.9
Clint Capela,12,None,C,7000,HOU,BKN,1,NA,18,26,107,108,13,7,9,8,23,25,26,32.5,34.4,23.3,45.5,28.5,38.2,5.5,28,35,5
Klay Thompson,20,None,SG,7000,GSW,SAC,1,NA,22,18,97,108,0,18,16,16,31,32,33,33.9,33.3,25.2,41.5,35.5,38.5,5.5,32.5,36.3,5.2
Al Horford,NA,None,PF/C,6900,BOS,DET,1,114,19,19,98,104,-2,10,9,10,29,33,33,31,34.9,28.5,41.3,33,34.1,4.9,33.7,27.8,4
C.J. McCollum,3,None,PG/SG,6900,POR,@NYK,1,108,25,19,99,106,3,20,17,17,36,36,36,32.6,34.3,26.2,42.5,36,33.5,4.9,39.5,25.8,3.7
Jusuf Nurkic,4,None,C,6800,POR,@NYK,1,108,28,15,99,106,-7,18,15,14,32,29,28,36.1,30.6,17.9,43.2,31.5,33.9,5,30.1,31.3,4.6
Kyle Kuzma,3,None,SF/PF,6800,LAL,@LAC,4,109,20,15,99,106,7,16,17,13,38,34,32,32.5,28.3,19.9,36.7,28,25.2,3.7,19.6,22,3.2
Tim Hardaway Jr.,5,None,SG/SF,6700,NYK,POR,1,NA,23,17,99,100,3,14,16,15,38,34,35,36.4,33.4,18.4,48.4,35,32.9,4.9,38.1,25.5,3.8
DeAndre Jordan,11,None,C,6700,LAC,LAL,1,102,12,19,106,101,1,5,7,7,33,34,33,36.8,32.3,21,43.6,34,37.5,5.6,30.9,19.8,3
Myles Turner,3,None,C,6600,IND,ORL,1,NA,20,18,103,107,2,8,11,11,26,28,29,28.6,30.8,20.2,41.3,32,35.7,5.4,30.3,27.5,4.2
